Trabajador;Cédula;Fecha;Entrada;Salida;Minutos Tarde;Observación
David Morales;18954224;2025-01-14;07:38;15:41;8;Tarde
David Morales;56561084;2025-05-01;08:24;15:54;54;Tarde
Laura Gomez;56936586;2025-07-13;07:57;16:14;27;Tarde
Laura Gomez;62467389;2025-04-19;08:27;16:15;57;Tarde
Ana Torres;65106587;2025-04-09;07:48;15:52;18;Tarde
Santiago Puerta;22918736;2025-05-03;08:08;15:45;38;Tarde
Laura Gomez;45445773;2025-04-09;07:54;15:51;24;Tarde
Samuel Bernal;60587158;2025-08-25;07:50;15:58;20;Tarde
Samuel Bernal;37923059;2025-08-29;07:59;15:47;29;Tarde
Harrison Rengifo;62469683;2025-07-21;08:29;16:15;59;Tarde
Carlos Perez;38114888;2025-07-20;07:39;15:46;9;Tarde
Carlos Perez;43818046;2025-08-01;08:00;15:57;30;Tarde
Sebastian Garcia;79885300;2025-08-29;07:45;16:09;15;Tarde
Ana Torres;18279600;2025-03-21;08:05;15:57;35;Tarde
Carlos Perez;19424371;2025-07-11;07:37;15:59;7;Tarde
Harrison Rengifo;89094032;2025-08-28;07:54;16:21;24;Tarde
Harrison Rengifo;21519198;2025-08-01;08:27;16:29;57;Tarde
Harrison Rengifo;24588877;2025-08-07;07:52;15:34;22;Tarde
Sebastian Garcia;30894862;2025-06-28;07:37;15:24;7;Tarde
Cristian Sierra;83412338;2025-04-16;07:48;16:16;18;Tarde
Cristian Sierra;74806394;2025-07-23;07:50;16:13;20;Tarde
Laura Gomez;82292404;2025-01-30;08:08;15:52;38;Tarde
Laura Gomez;71631591;2025-08-03;07:34;15:46;4;Tarde
Carlos Perez;57038718;2025-04-17;07:46;15:38;16;Tarde
Samuel Bernal;75536824;2025-05-16;07:57;15:29;27;Tarde
Samuel Bernal;74808553;2025-03-21;08:17;16:30;47;Tarde
David Morales;36593644;2025-02-07;08:20;16:02;50;Tarde
Laura Gomez;69013968;2025-06-12;07:52;16:13;22;Tarde
Maria Sanchez;63778517;2025-05-04;08:13;16:33;43;Tarde
David Morales;29463367;2025-06-13;07:38;15:40;8;Tarde
Laura Gomez;16981110;2025-02-24;07:37;16:07;7;Tarde
Carlos Perez;23324260;2025-06-11;08:28;16:44;58;Tarde
Sebastian Garcia;60396105;2025-05-31;07:34;15:34;4;Tarde
Cristian Sierra;53480497;2025-01-10;08:20;16:12;50;Tarde
Cristian Sierra;98136603;2025-06-30;07:49;15:32;19;Tarde
Ana Torres;44461056;2025-07-24;07:32;15:33;2;Tarde
Ana Torres;21951681;2025-06-19;07:56;15:39;26;Tarde
Harrison Rengifo;73047348;2025-05-10;07:33;16:03;3;Tarde
Samuel Bernal;35404542;2025-07-13;08:09;16:33;39;Tarde
Maria Sanchez;35306753;2025-07-10;08:07;15:54;37;Tarde
David Morales;86858263;2025-06-13;07:59;16:19;29;Tarde
Harrison Rengifo;47848719;2025-01-13;07:30;15:37;0;-
Maria Sanchez;91400136;2025-07-10;07:52;15:37;22;Tarde
Santiago Puerta;59743366;2025-02-04;08:11;16:12;41;Tarde
Maria Sanchez;79337634;2025-01-07;08:18;16:40;48;Tarde
David Morales;29872763;2025-08-09;08:03;15:49;33;Tarde
David Morales;91927412;2025-04-08;07:31;15:29;1;Tarde
Maria Sanchez;48479084;2025-02-03;08:21;16:43;51;Tarde
David Morales;45370425;2025-05-17;07:47;15:53;17;Tarde
Samuel Bernal;26515378;2025-02-08;08:03;15:49;33;Tarde
Harrison Rengifo;80454786;2025-02-26;07:44;15:46;14;Tarde
Samuel Bernal;58889836;2025-04-24;07:35;15:59;5;Tarde
Harrison Rengifo;23480406;2025-06-28;07:49;15:38;19;Tarde
Samuel Bernal;57272476;2025-02-27;08:18;16:42;48;Tarde
Laura Gomez;79692900;2025-04-02;08:24;16:52;54;Tarde
Laura Gomez;49103134;2025-07-03;07:37;15:45;7;Tarde
Samuel Bernal;33872647;2025-08-28;08:20;16:44;50;Tarde
Carlos Perez;61429166;2025-04-14;07:53;16:12;23;Tarde
Laura Gomez;73282450;2025-02-07;07:52;15:42;22;Tarde
Carlos Perez;36773077;2025-04-28;08:25;16:13;55;Tarde
Harrison Rengifo;47792483;2025-04-21;07:47;15:21;17;Tarde
Sebastian Garcia;54830906;2025-04-14;07:31;15:10;1;Tarde
Carlos Perez;95340665;2025-02-02;08:27;16:21;57;Tarde
Carlos Perez;34703928;2025-01-06;07:59;16:15;29;Tarde
David Morales;79224897;2025-05-08;08:13;16:36;43;Tarde
Maria Sanchez;97989775;2025-03-22;08:27;16:54;57;Tarde
Ana Torres;97917467;2025-01-07;07:52;15:46;22;Tarde
Maria Sanchez;59268153;2025-03-07;07:43;15:14;13;Tarde
Harrison Rengifo;33966688;2025-07-09;08:05;16:09;35;Tarde
Cristian Sierra;57829254;2025-04-12;08:26;16:18;56;Tarde
Sebastian Garcia;90232453;2025-01-14;07:54;15:59;24;Tarde
Laura Gomez;12449130;2025-04-23;07:30;15:57;0;-
David Morales;15897377;2025-07-09;07:54;15:37;24;Tarde
Sebastian Garcia;12529355;2025-07-27;08:23;15:53;53;Tarde
Cristian Sierra;89342013;2025-08-26;07:30;15:54;0;-
David Morales;98956562;2025-08-27;07:47;15:19;17;Tarde
David Morales;62996036;2025-01-10;07:57;15:48;27;Tarde
Carlos Perez;70397945;2025-03-05;07:48;16:06;18;Tarde
Carlos Perez;68907532;2025-08-12;08:04;16:32;34;Tarde
Laura Gomez;48589878;2025-01-22;08:20;15:53;50;Tarde
Ana Torres;65498338;2025-03-13;07:31;15:08;1;Tarde
Laura Gomez;67560993;2025-07-13;08:01;16:22;31;Tarde
Ana Torres;95734634;2025-07-15;08:03;16:00;33;Tarde
Carlos Perez;14387192;2025-04-29;08:20;16:41;50;Tarde
Cristian Sierra;12818722;2025-06-13;07:36;15:45;6;Tarde
David Morales;15189229;2025-04-08;08:06;16:25;36;Tarde
Maria Sanchez;44196733;2025-01-29;07:31;15:37;1;Tarde
Maria Sanchez;58620970;2025-01-26;07:41;16:10;11;Tarde
Sebastian Garcia;41412450;2025-01-20;08:07;16:02;37;Tarde
Samuel Bernal;14063218;2025-02-15;07:58;16:16;28;Tarde
Carlos Perez;50057018;2025-08-09;07:39;15:18;9;Tarde
Harrison Rengifo;80454519;2025-04-13;07:53;15:37;23;Tarde
Harrison Rengifo;75662100;2025-04-29;07:44;16:00;14;Tarde
Laura Gomez;51981811;2025-07-31;08:28;16:33;58;Tarde
Carlos Perez;13250905;2025-07-24;07:38;15:55;8;Tarde
Cristian Sierra;80517982;2025-06-13;07:53;16:10;23;Tarde
Cristian Sierra;15655579;2025-04-08;08:10;16:12;40;Tarde
Harrison Rengifo;46514441;2025-04-06;07:39;15:13;9;Tarde
Sebastian Garcia;78980408;2025-05-05;08:09;15:49;39;Tarde
David Morales;84653423;2025-06-06;08:20;16:44;50;Tarde
Cristian Sierra;59571554;2025-05-29;08:00;16:08;30;Tarde
Laura Gomez;24293875;2025-05-25;08:22;15:52;52;Tarde
Sebastian Garcia;16922328;2025-05-23;07:45;15:49;15;Tarde
Santiago Puerta;29588647;2025-06-12;07:59;16:18;29;Tarde
David Morales;18979865;2025-07-14;08:01;15:54;31;Tarde
Santiago Puerta;56915227;2025-05-23;08:15;16:33;45;Tarde
Samuel Bernal;51153017;2025-08-03;08:08;16:15;38;Tarde
Maria Sanchez;25990272;2025-04-25;08:21;16:11;51;Tarde
Santiago Puerta;10981566;2025-08-04;08:19;16:45;49;Tarde
Carlos Perez;54413515;2025-06-18;08:02;16:30;32;Tarde
Carlos Perez;43617214;2025-02-25;08:09;16:15;39;Tarde
Maria Sanchez;32329422;2025-07-23;08:15;15:59;45;Tarde
Laura Gomez;89370761;2025-06-09;08:01;16:31;31;Tarde
Cristian Sierra;24577707;2025-04-07;08:04;15:54;34;Tarde
Maria Sanchez;66983456;2025-05-14;08:10;16:08;40;Tarde
Maria Sanchez;41650733;2025-02-27;07:42;15:56;12;Tarde
Santiago Puerta;32757457;2025-05-31;07:32;15:46;2;Tarde
Sebastian Garcia;15674318;2025-08-14;07:51;15:28;21;Tarde
Harrison Rengifo;32115730;2025-08-23;08:12;15:47;42;Tarde
Sebastian Garcia;89113549;2025-03-21;08:10;15:46;40;Tarde
Harrison Rengifo;79024399;2025-08-14;08:10;16:33;40;Tarde
Laura Gomez;12096091;2025-07-22;07:43;15:31;13;Tarde
Carlos Perez;69854047;2025-05-30;08:12;15:50;42;Tarde
Harrison Rengifo;15878386;2025-06-07;08:22;15:56;52;Tarde
Ana Torres;53706818;2025-07-18;08:04;16:12;34;Tarde
Maria Sanchez;79044928;2025-04-15;08:22;16:11;52;Tarde
David Morales;20808861;2025-02-25;08:30;16:45;60;Tarde
David Morales;70501160;2025-03-18;08:12;16:35;42;Tarde
Sebastian Garcia;96854432;2025-08-07;07:48;15:35;18;Tarde
Carlos Perez;20370081;2025-01-19;08:19;15:57;49;Tarde
Carlos Perez;92880103;2025-08-19;08:09;16:01;39;Tarde
Maria Sanchez;34755427;2025-05-09;07:38;15:37;8;Tarde
Sebastian Garcia;42234490;2025-04-05;08:12;16:19;42;Tarde
Ana Torres;54812186;2025-07-09;07:44;15:16;14;Tarde
Ana Torres;76505797;2025-04-02;07:54;15:44;24;Tarde
Laura Gomez;55287790;2025-04-17;07:45;16:00;15;Tarde
Samuel Bernal;21304133;2025-03-19;07:45;15:34;15;Tarde
Samuel Bernal;72045365;2025-07-04;08:00;15:43;30;Tarde
Harrison Rengifo;47048696;2025-08-20;08:27;16:17;57;Tarde
Laura Gomez;77521100;2025-02-28;07:57;15:52;27;Tarde
Ana Torres;98011866;2025-05-15;08:06;15:38;36;Tarde
Santiago Puerta;61864477;2025-07-11;07:50;16:00;20;Tarde
Santiago Puerta;63583419;2025-02-22;08:23;16:43;53;Tarde
Sebastian Garcia;34870593;2025-03-31;08:30;16:47;60;Tarde
Carlos Perez;32845723;2025-01-19;07:42;16:04;12;Tarde
David Morales;66489211;2025-07-12;07:33;15:47;3;Tarde
Harrison Rengifo;48870897;2025-01-25;07:45;15:22;15;Tarde
Santiago Puerta;32653137;2025-08-26;08:23;15:57;53;Tarde
Ana Torres;16694076;2025-02-09;08:11;16:04;41;Tarde
Carlos Perez;23148265;2025-03-23;07:30;15:05;0;-
Samuel Bernal;63303377;2025-07-08;07:56;15:58;26;Tarde
Cristian Sierra;45229503;2025-02-01;08:23;16:25;53;Tarde
Ana Torres;26474225;2025-01-27;08:01;16:03;31;Tarde
Cristian Sierra;71096189;2025-07-15;07:38;16:08;8;Tarde
Sebastian Garcia;78682780;2025-05-15;07:38;15:36;8;Tarde
Harrison Rengifo;23686035;2025-05-18;08:23;16:26;53;Tarde
Sebastian Garcia;61493373;2025-01-02;07:54;16:18;24;Tarde
Carlos Perez;74969804;2025-07-13;07:47;16:13;17;Tarde
Carlos Perez;62290730;2025-05-18;07:48;15:28;18;Tarde
Maria Sanchez;86623380;2025-03-24;07:52;16:10;22;Tarde
Santiago Puerta;23907899;2025-07-10;08:23;16:08;53;Tarde
David Morales;53226283;2025-04-08;07:35;15:21;5;Tarde
Samuel Bernal;92576373;2025-05-23;07:34;15:17;4;Tarde
Sebastian Garcia;93049147;2025-08-03;07:39;15:10;9;Tarde
Ana Torres;87738198;2025-08-07;07:52;15:37;22;Tarde
Cristian Sierra;42336858;2025-05-05;07:56;16:16;26;Tarde
David Morales;38392234;2025-02-03;08:14;16:09;44;Tarde
Samuel Bernal;12406510;2025-01-30;08:22;15:54;52;Tarde
Cristian Sierra;38389794;2025-01-26;07:38;15:35;8;Tarde
Ana Torres;11005803;2025-02-19;07:58;16:28;28;Tarde
Santiago Puerta;30295099;2025-05-07;07:40;15:16;10;Tarde
Ana Torres;14640790;2025-01-11;07:43;15:18;13;Tarde
Laura Gomez;50535374;2025-07-23;08:18;16:30;48;Tarde
Maria Sanchez;44909583;2025-05-04;08:23;16:06;53;Tarde
Santiago Puerta;25382929;2025-04-13;08:05;15:57;35;Tarde
Ana Torres;82071678;2025-03-07;08:29;15:59;59;Tarde
Cristian Sierra;56880095;2025-06-09;07:35;15:07;5;Tarde
Maria Sanchez;85887705;2025-02-05;07:44;15:50;14;Tarde
Ana Torres;56800169;2025-03-26;08:21;16:36;51;Tarde
Santiago Puerta;48264194;2025-04-22;08:11;15:58;41;Tarde
Samuel Bernal;33790157;2025-02-01;07:52;15:38;22;Tarde
Laura Gomez;90598109;2025-04-08;08:25;16:53;55;Tarde
Maria Sanchez;88932068;2025-03-30;08:24;16:16;54;Tarde
Carlos Perez;27825158;2025-04-23;07:49;15:50;19;Tarde
Harrison Rengifo;87374717;2025-06-29;07:30;15:24;0;-
Samuel Bernal;74216555;2025-05-24;08:07;15:50;37;Tarde
David Morales;89207363;2025-06-07;08:13;16:12;43;Tarde
Santiago Puerta;65538788;2025-03-14;08:06;15:47;36;Tarde
Carlos Perez;94707346;2025-08-23;07:43;15:13;13;Tarde
Carlos Perez;32568566;2025-01-28;07:59;15:36;29;Tarde
Santiago Puerta;84947047;2025-05-22;07:39;15:47;9;Tarde
David Morales;67042781;2025-06-04;08:20;16:00;50;Tarde
David Morales;37877718;2025-06-14;08:25;16:32;55;Tarde
Cristian Sierra;94256457;2025-06-01;08:29;16:10;59;Tarde
Samuel Bernal;80414930;2025-06-06;08:23;16:51;53;Tarde
Harrison Rengifo;57153493;2025-06-04;08:04;16:07;34;Tarde
Harrison Rengifo;93613924;2025-05-31;07:32;15:40;2;Tarde
Laura Gomez;72695341;2025-08-12;08:10;15:50;40;Tarde
Maria Sanchez;48706069;2025-04-25;08:30;16:19;60;Tarde
Santiago Puerta;26252429;2025-03-05;07:47;15:53;17;Tarde
Ana Torres;39850547;2025-07-02;07:51;15:38;21;Tarde
Harrison Rengifo;30571657;2025-06-09;08:18;16:18;48;Tarde
Maria Sanchez;91742990;2025-04-28;08:06;16:08;36;Tarde
Ana Torres;36668588;2025-08-03;07:58;16:02;28;Tarde
Laura Gomez;33892423;2025-08-04;07:53;15:43;23;Tarde
Maria Sanchez;83405947;2025-06-29;08:01;16:30;31;Tarde
Sebastian Garcia;62522641;2025-04-29;08:23;16:20;53;Tarde
Cristian Sierra;65697779;2025-02-04;08:13;16:33;43;Tarde
Maria Sanchez;78851829;2025-04-14;08:12;15:42;42;Tarde
Samuel Bernal;23896012;2025-07-09;07:59;15:48;29;Tarde
Cristian Sierra;92838335;2025-05-05;07:55;15:37;25;Tarde
Samuel Bernal;22910624;2025-05-09;07:44;16:14;14;Tarde
Harrison Rengifo;47669747;2025-02-03;07:45;15:17;15;Tarde
Santiago Puerta;83713775;2025-04-23;07:37;15:49;7;Tarde
Laura Gomez;44812097;2025-08-27;08:09;15:53;39;Tarde
Harrison Rengifo;66264541;2025-05-05;07:34;15:24;4;Tarde
Carlos Perez;77818391;2025-03-15;08:22;15:58;52;Tarde
Carlos Perez;99884928;2025-06-15;07:58;16:15;28;Tarde
Sebastian Garcia;18520853;2025-08-29;08:04;16:09;34;Tarde
Santiago Puerta;41022458;2025-05-18;07:48;15:37;18;Tarde
Laura Gomez;34908486;2025-05-25;07:37;15:57;7;Tarde
Maria Sanchez;50777305;2025-08-03;08:21;16:05;51;Tarde
Laura Gomez;71638773;2025-01-28;08:17;16:10;47;Tarde
Santiago Puerta;75516422;2025-07-05;07:42;15:28;12;Tarde
Santiago Puerta;51699380;2025-06-15;08:01;15:35;31;Tarde
Sebastian Garcia;85408841;2025-07-20;08:25;16:35;55;Tarde
Maria Sanchez;53615504;2025-01-29;08:03;16:32;33;Tarde
Santiago Puerta;59675297;2025-07-15;07:36;15:54;6;Tarde
Laura Gomez;32335451;2025-08-09;07:42;15:15;12;Tarde
Cristian Sierra;19864952;2025-06-12;07:49;16:19;19;Tarde
Ana Torres;54428445;2025-06-13;08:21;15:56;51;Tarde
Sebastian Garcia;54608469;2025-08-26;08:21;16:27;51;Tarde
Maria Sanchez;97937403;2025-05-30;08:16;16:40;46;Tarde
Cristian Sierra;12348442;2025-08-21;08:00;16:28;30;Tarde
Maria Sanchez;33585243;2025-07-23;08:04;16:24;34;Tarde
Samuel Bernal;24710496;2025-02-16;07:45;15:44;15;Tarde
Ana Torres;18622684;2025-06-01;07:35;16:04;5;Tarde
Laura Gomez;44397125;2025-04-07;08:01;16:29;31;Tarde
Santiago Puerta;47290464;2025-01-16;08:09;16:14;39;Tarde
Maria Sanchez;62868270;2025-05-12;08:23;16:46;53;Tarde
Maria Sanchez;88639941;2025-07-18;08:17;16:39;47;Tarde
Laura Gomez;38030171;2025-02-13;08:02;15:59;32;Tarde
Samuel Bernal;45420093;2025-06-28;08:17;16:01;47;Tarde
Harrison Rengifo;15796722;2025-04-23;08:00;15:43;30;Tarde
Carlos Perez;46525688;2025-02-19;08:16;16:03;46;Tarde
Cristian Sierra;39868690;2025-03-06;07:52;16:20;22;Tarde
Laura Gomez;96449739;2025-04-04;08:24;15:54;54;Tarde
Maria Sanchez;36449097;2025-02-20;08:22;16:10;52;Tarde
Samuel Bernal;36003839;2025-08-13;08:23;16:14;53;Tarde
Santiago Puerta;70391802;2025-02-12;08:01;16:22;31;Tarde
Samuel Bernal;16958851;2025-06-07;08:19;16:34;49;Tarde
Harrison Rengifo;49232308;2025-01-22;07:36;15:55;6;Tarde
Harrison Rengifo;15131701;2025-01-25;07:47;16:04;17;Tarde
Samuel Bernal;53137574;2025-01-03;08:24;16:27;54;Tarde
Ana Torres;17026945;2025-07-25;07:51;15:54;21;Tarde
Samuel Bernal;28773075;2025-07-28;08:29;16:36;59;Tarde
Carlos Perez;47115074;2025-02-21;08:02;16:16;32;Tarde
Sebastian Garcia;57078173;2025-08-26;07:32;15:58;2;Tarde
Santiago Puerta;32222105;2025-05-24;07:30;15:02;0;-
David Morales;83557187;2025-07-23;08:16;16:23;46;Tarde
David Morales;86505457;2025-06-16;07:47;15:26;17;Tarde
David Morales;26388105;2025-06-13;07:58;15:52;28;Tarde
Samuel Bernal;19154790;2025-05-07;08:15;16:22;45;Tarde
Maria Sanchez;18717739;2025-01-02;08:00;16:09;30;Tarde
Harrison Rengifo;62100209;2025-06-27;07:58;15:30;28;Tarde
David Morales;84508054;2025-06-14;08:04;15:42;34;Tarde
Ana Torres;56494255;2025-03-07;08:02;16:23;32;Tarde
Maria Sanchez;13376033;2025-05-21;08:03;15:52;33;Tarde
Samuel Bernal;56261786;2025-05-31;08:07;16:31;37;Tarde
David Morales;33928082;2025-03-26;08:17;16:38;47;Tarde
Maria Sanchez;17556134;2025-03-19;07:38;15:23;8;Tarde
Ana Torres;72309426;2025-02-22;08:16;15:54;46;Tarde
Sebastian Garcia;25552476;2025-02-23;07:34;15:50;4;Tarde
Carlos Perez;82365544;2025-04-26;08:05;15:44;35;Tarde
Ana Torres;59618105;2025-08-02;08:18;16:37;48;Tarde
Cristian Sierra;60271020;2025-02-26;07:45;15:16;15;Tarde
Carlos Perez;68928313;2025-03-16;08:28;16:14;58;Tarde
David Morales;27225842;2025-08-10;08:23;16:34;53;Tarde
Carlos Perez;83828747;2025-08-11;08:16;16:08;46;Tarde
Santiago Puerta;27053889;2025-04-04;07:46;16:10;16;Tarde
Harrison Rengifo;73693338;2025-05-22;08:09;16:01;39;Tarde
Carlos Perez;19182077;2025-04-14;07:33;15:58;3;Tarde
Laura Gomez;15561145;2025-07-30;08:12;16:17;42;Tarde
Harrison Rengifo;18377976;2025-01-29;07:35;15:48;5;Tarde
Laura Gomez;87371680;2025-08-14;07:57;15:59;27;Tarde
Sebastian Garcia;90627045;2025-01-12;07:46;15:21;16;Tarde
Ana Torres;19766628;2025-03-09;08:17;16:37;47;Tarde
Maria Sanchez;78752728;2025-03-18;07:36;15:23;6;Tarde
Santiago Puerta;41667700;2025-06-25;07:49;15:53;19;Tarde
Maria Sanchez;63048459;2025-07-21;08:06;16:18;36;Tarde
Santiago Puerta;62300455;2025-01-28;07:47;15:48;17;Tarde
Samuel Bernal;46169953;2025-05-25;07:37;15:53;7;Tarde
Ana Torres;13411303;2025-08-29;07:55;16:12;25;Tarde
David Morales;47640844;2025-08-25;07:59;15:41;29;Tarde
Ana Torres;12290694;2025-01-08;08:05;16:07;35;Tarde
Ana Torres;35358152;2025-03-05;08:11;16:25;41;Tarde
Harrison Rengifo;85077052;2025-04-17;08:01;16:10;31;Tarde
Samuel Bernal;58005048;2025-05-27;07:57;16:23;27;Tarde
Santiago Puerta;27206214;2025-01-04;07:33;15:37;3;Tarde
Cristian Sierra;40797681;2025-07-31;08:07;15:40;37;Tarde
Harrison Rengifo;37870199;2025-06-25;08:12;16:34;42;Tarde
Cristian Sierra;45082043;2025-02-14;07:37;15:43;7;Tarde
Carlos Perez;98066993;2025-02-08;08:20;16:03;50;Tarde
Maria Sanchez;75323202;2025-08-06;07:41;15:49;11;Tarde
Samuel Bernal;16201593;2025-01-16;07:57;15:44;27;Tarde
Laura Gomez;96847677;2025-06-09;08:26;16:12;56;Tarde
Ana Torres;88968652;2025-08-17;08:21;16:50;51;Tarde
David Morales;77434999;2025-01-29;07:46;15:37;16;Tarde
Maria Sanchez;57691390;2025-08-22;07:41;15:33;11;Tarde
Santiago Puerta;24038891;2025-07-20;08:20;16:37;50;Tarde
Laura Gomez;24549349;2025-08-20;07:51;16:09;21;Tarde
Sebastian Garcia;64018845;2025-04-25;07:56;15:39;26;Tarde
Carlos Perez;93859164;2025-05-24;07:46;16:00;16;Tarde
Cristian Sierra;87463268;2025-05-14;07:33;15:47;3;Tarde
Cristian Sierra;39432928;2025-03-04;07:43;16:08;13;Tarde
Harrison Rengifo;77358586;2025-02-15;08:15;15:48;45;Tarde
Sebastian Garcia;21652445;2025-05-09;07:54;15:33;24;Tarde
David Morales;34371583;2025-03-07;08:11;15:41;41;Tarde
Samuel Bernal;41191373;2025-02-02;07:49;15:37;19;Tarde
David Morales;32635984;2025-07-04;07:53;15:48;23;Tarde
Sebastian Garcia;73601294;2025-03-31;08:03;16:26;33;Tarde
Maria Sanchez;88157895;2025-07-13;08:09;16:08;39;Tarde
David Morales;51776135;2025-07-31;08:02;15:50;32;Tarde
Carlos Perez;87977841;2025-06-08;08:07;16:08;37;Tarde
Samuel Bernal;70436876;2025-03-21;08:24;16:50;54;Tarde
Sebastian Garcia;24913955;2025-01-17;08:15;16:10;45;Tarde
Laura Gomez;88544778;2025-04-26;08:27;16:01;57;Tarde
Santiago Puerta;10410002;2025-07-30;08:11;16:21;41;Tarde
Santiago Puerta;15662264;2025-07-06;08:01;16:04;31;Tarde
Samuel Bernal;38483858;2025-04-19;08:02;16:10;32;Tarde
Ana Torres;79599482;2025-02-28;07:52;15:29;22;Tarde
Carlos Perez;67045113;2025-04-18;08:08;16:29;38;Tarde
Laura Gomez;75521192;2025-06-23;07:49;15:19;19;Tarde
Santiago Puerta;59289823;2025-08-22;07:46;16:07;16;Tarde
David Morales;54062522;2025-07-14;08:13;16:10;43;Tarde
Cristian Sierra;83581630;2025-01-31;08:18;16:29;48;Tarde
Harrison Rengifo;30931817;2025-06-14;07:48;16:00;18;Tarde
Ana Torres;19771069;2025-05-18;07:41;16:05;11;Tarde
Cristian Sierra;23271254;2025-02-23;08:15;16:01;45;Tarde
Sebastian Garcia;13298821;2025-05-25;08:25;15:55;55;Tarde
Santiago Puerta;87395366;2025-04-09;08:12;15:54;42;Tarde
Samuel Bernal;73578851;2025-08-20;08:30;16:18;60;Tarde
Santiago Puerta;34749367;2025-07-19;08:19;16:33;49;Tarde
Santiago Puerta;18867315;2025-06-13;07:55;15:40;25;Tarde
Harrison Rengifo;16770744;2025-03-29;07:52;15:49;22;Tarde
Carlos Perez;94122241;2025-03-07;07:33;15:53;3;Tarde
Santiago Puerta;96589485;2025-01-07;07:36;15:55;6;Tarde
Laura Gomez;15527737;2025-04-07;08:15;16:20;45;Tarde
Carlos Perez;26604106;2025-06-11;08:07;16:05;37;Tarde
Harrison Rengifo;98240571;2025-04-15;08:05;15:46;35;Tarde
Ana Torres;29356389;2025-08-16;07:34;15:19;4;Tarde
Samuel Bernal;81796587;2025-03-22;08:25;15:58;55;Tarde
Cristian Sierra;74707154;2025-07-05;07:54;15:50;24;Tarde
Samuel Bernal;19429781;2025-06-10;07:56;16:18;26;Tarde
Harrison Rengifo;67014017;2025-08-26;08:21;16:34;51;Tarde
David Morales;63380507;2025-05-20;07:31;15:57;1;Tarde
Samuel Bernal;82110373;2025-04-25;07:57;15:55;27;Tarde
Cristian Sierra;41373607;2025-06-08;07:45;16:02;15;Tarde
David Morales;68831220;2025-07-06;08:17;15:57;47;Tarde
Carlos Perez;11807370;2025-03-03;07:50;16:03;20;Tarde
Cristian Sierra;23764182;2025-06-02;08:02;16:31;32;Tarde
Harrison Rengifo;57590937;2025-01-15;08:04;16:23;34;Tarde
Carlos Perez;24607099;2025-01-24;08:24;16:23;54;Tarde
Sebastian Garcia;58100308;2025-01-11;07:39;15:25;9;Tarde
Carlos Perez;85633972;2025-03-11;08:16;16:00;46;Tarde
Laura Gomez;69941686;2025-06-23;07:52;16:01;22;Tarde
Santiago Puerta;61810878;2025-08-23;08:09;16:27;39;Tarde
Cristian Sierra;28113734;2025-04-18;08:30;16:34;60;Tarde
Harrison Rengifo;44935966;2025-07-16;07:43;15:53;13;Tarde
Laura Gomez;20085376;2025-06-28;07:34;15:30;4;Tarde
Laura Gomez;13073170;2025-07-17;08:28;16:49;58;Tarde
Ana Torres;67924329;2025-05-07;08:29;16:22;59;Tarde
Samuel Bernal;59110993;2025-06-12;07:48;15:47;18;Tarde
Carlos Perez;23572883;2025-08-22;08:22;16:28;52;Tarde
Samuel Bernal;19987337;2025-08-05;07:36;15:59;6;Tarde
Ana Torres;81469769;2025-05-17;08:24;16:32;54;Tarde
Ana Torres;27080533;2025-06-25;07:42;15:29;12;Tarde
Cristian Sierra;37057002;2025-07-07;08:20;16:17;50;Tarde
Santiago Puerta;13454695;2025-02-19;08:15;16:10;45;Tarde
Maria Sanchez;25066494;2025-08-26;08:09;16:20;39;Tarde
Samuel Bernal;99689483;2025-05-15;07:59;15:38;29;Tarde
Laura Gomez;96930485;2025-01-22;07:37;15:45;7;Tarde
David Morales;74805285;2025-02-28;07:31;15:32;1;Tarde
Santiago Puerta;75113133;2025-03-07;08:13;16:25;43;Tarde
Ana Torres;72837583;2025-04-29;08:29;16:26;59;Tarde
Carlos Perez;57844855;2025-03-22;07:59;16:22;29;Tarde
Harrison Rengifo;60523870;2025-08-28;08:20;16:05;50;Tarde
Santiago Puerta;34985853;2025-07-22;07:39;15:57;9;Tarde
Maria Sanchez;74371576;2025-01-24;08:20;16:49;50;Tarde
Sebastian Garcia;18525179;2025-07-04;08:30;16:39;60;Tarde
Samuel Bernal;38237901;2025-08-05;08:12;16:16;42;Tarde
Cristian Sierra;25416505;2025-06-06;08:15;15:56;45;Tarde
Cristian Sierra;46797779;2025-07-11;07:53;16:09;23;Tarde
Maria Sanchez;70165231;2025-04-09;07:46;16:00;16;Tarde
Santiago Puerta;32436436;2025-07-06;08:05;16:20;35;Tarde
Maria Sanchez;68218019;2025-03-03;07:46;16:13;16;Tarde
Carlos Perez;52942723;2025-03-28;08:25;15:58;55;Tarde
Laura Gomez;80412549;2025-06-14;07:36;15:57;6;Tarde
David Morales;71280555;2025-08-27;07:32;15:45;2;Tarde
Samuel Bernal;37352691;2025-06-28;08:01;15:41;31;Tarde
Santiago Puerta;27754302;2025-06-22;07:56;15:36;26;Tarde
Carlos Perez;92399613;2025-07-02;08:01;15:43;31;Tarde
Samuel Bernal;42239871;2025-05-23;07:30;15:43;0;-
Carlos Perez;15500383;2025-05-01;08:15;16:45;45;Tarde
Harrison Rengifo;72075486;2025-08-08;07:57;15:54;27;Tarde
Harrison Rengifo;15400468;2025-07-11;07:38;15:45;8;Tarde
